name,state,lat,lon,hist_high,hist_snow,hist_precip,act_high,act_snow,act_precip
Seattle,WA,47.61,-122.33,45.3,6.5,18.4,48.9,3.9,18.2
Portland,OR,45.52,-122.68,47.2,6.8,19.5,49.1,5.4,20.6
San Francisco,CA,37.77,-122.42,56.9,0.0,11.5,58.6,0.0,12.3
Sacramento,CA,38.58,-121.49,57.2,0.0,13.8,57.0,0.0,15.0
Los Angeles,CA,34.05,-118.24,66.0,0.0,8.7,69.2,0.0,12.1
San Diego,CA,32.72,-117.16,63.0,0.0,7.2,68.4,0.0,6.6
Las Vegas,NV,36.17,-115.14,57.5,1.9,2.8,64.5,0.0,1.7
Reno,NV,39.53,-119.81,41.6,34.8,7.8,46.6,18.4,9.6
Phoenix,AZ,33.45,-112.07,66.1,0.0,3.9,72.8,0.0,2.3
Tucson,AZ,32.22,-110.97,65.0,0.7,3.6,71.2,0.0,4.3
Denver,CO,39.74,-104.98,41.5,17.5,2.6,52.6,6.8,1.1
Salt Lake City,UT,40.76,-111.89,37.5,29.3,6.0,45.7,20.7,9.3
Boise,ID,43.62,-116.2,40.5,13.5,5.1,46.3,5.2,6.4
Billings,MT,45.78,-108.5,36.1,15.8,2.5,45.2,23.5,4.6
Albuquerque,NM,35.08,-106.65,48.8,5.7,1.9,54.8,4.7,2.0
El Paso,TX,31.76,-106.44,58.9,1.3,1.7,64.6,1.4,2.1
Chicago,IL,41.88,-87.63,32.4,20.6,6.7,33.7,15.8,5.8
Detroit,MI,42.33,-83.05,33.7,19.9,7.2,31.0,19.4,5.9
Minneapolis,MN,44.98,-93.27,26.1,19.7,3.4,25.5,17.6,3.7
Milwaukee,WI,43.04,-87.91,31.3,23.3,6.1,30.7,15.7,5.0
Indianapolis,IN,39.77,-86.16,38.7,15.1,9.0,37.5,16.5,5.9
Cleveland,OH,41.5,-81.69,35.6,26.1,9.0,33.4,33.0,8.8
Cincinnati,OH,39.1,-84.51,42.2,12.7,10.1,39.4,21.0,6.4
St. Louis,MO,38.63,-90.2,42.8,11.0,8.1,43.6,8.5,4.4
Kansas City,MO,39.1,-94.58,41.0,11.8,5.3,44.9,5.3,3.1
Omaha,NE,41.26,-95.94,35.0,15.6,3.8,40.1,7.3,2.3
Oklahoma City,OK,35.47,-97.52,50.6,5.4,5.0,56.2,6.3,2.1
New York,NY,40.71,-74.01,40.4,18.4,10.3,35.1,30.3,7.9
Boston,MA,42.36,-71.06,37.6,28.9,11.5,33.9,38.0,8.4
Philadelphia,PA,39.95,-75.17,42.5,15.2,10.3,36.9,21.5,7.8
Pittsburgh,PA,40.44,-79.99,39.4,19.8,10.3,35.7,23.1,8.0
Washington DC,DC,38.91,-77.04,44.9,13.3,9.5,40.8,13.1,8.1
Baltimore,MD,39.29,-76.61,43.3,13.4,11.0,39.4,13.4,8.5
Richmond,VA,37.54,-77.44,48.6,8.8,9.9,46.2,9.8,8.1
Buffalo,NY,42.89,-78.88,33.0,28.1,8.5,30.8,40.7,10.3
Albany,NY,42.65,-73.75,35.7,31.1,9.5,30.7,33.2,7.7
Burlington,VT,44.48,-73.21,29.8,34.9,8.0,26.9,29.5,6.7
Portland,ME,43.66,-70.26,33.9,38.0,10.7,30.5,35.9,7.9
Atlanta,GA,33.75,-84.39,53.4,1.6,13.1,55.4,0.3,8.2
Charlotte,NC,35.23,-80.84,52.1,3.9,10.4,52.2,3.6,7.6
Nashville,TN,36.17,-86.78,49.2,4.6,13.6,50.4,2.3,10.8
Memphis,TN,35.15,-90.05,50.9,2.8,13.0,51.8,1.5,7.5
Miami,FL,25.77,-80.19,74.8,0.0,5.3,75.4,0.0,4.6
Tampa,FL,27.95,-82.46,70.6,0.0,6.7,71.7,0.0,6.1
Jacksonville,FL,30.33,-81.66,65.1,0.0,7.6,66.1,0.0,4.3
New Orleans,LA,29.95,-90.07,62.6,0.1,12.8,65.0,0.0,10.1
Dallas,TX,32.78,-96.8,58.0,1.5,9.4,63.0,0.6,3.3
Houston,TX,29.76,-95.37,64.0,0.1,11.9,68.2,0.0,7.4
San Antonio,TX,29.42,-98.49,64.4,0.1,7.1,69.4,0.0,3.3
Anchorage,AK,61.22,-149.9,22.5,57.4,8.9,19.2,31.9,5.3
